attribute_id,product_id,attribute_name,attribute_value
20,1,Subcategory,Shipping
8,1,Classification,SHIPPING
16,1,NRF Color Code,N/A
19,1,NRF Color Name,N/A
5,13325,Collection,Harper
20,13325,Subcategory,One Piece
7,13325,Gender,Baby Girl
4,13325,Size,12-18 Months
17,13325,Ship Date,04-09-2021
16,13325,NRF Color Code,N/A
19,13325,NRF Color Name,N/A
3,13325,Season,Spring 2021
8,13325,Classification,SEASONAL
24,13325,Price Method,Full Price
25,13325,NU Customer Groups,All
26,13325,Brand License,Posh Peanut
59,13325,Department,Apparel
60,13325,Prebook,FALSE
5,7625,Collection,James
20,7625,Subcategory,Romper
7,7625,Gender,Baby Boy
4,7625,Size,12-18 Months
16,7625,NRF Color Code,N/A
19,7625,NRF Color Name,N/A
3,7625,Season,Summer 2020
8,7625,Classification,OBSOLETE
24,7625,Price Method,Full Price
25,7625,NU Customer Groups,All
26,7625,Brand License,Posh Peanut
59,7625,Department,Apparel
60,7625,Prebook,FALSE
61,7625,Materials,Bamboo/Spandex(95/5)
5,7626,Collection,James
20,7626,Subcategory,Romper
7,7626,Gender,Baby Boy
4,7626,Size,18-24 Months
16,7626,NRF Color Code,N/A
19,7626,NRF Color Name,N/A
3,7626,Season,Summer 2020
8,7626,Classification,OBSOLETE
24,7626,Price Method,Full Price
25,7626,NU Customer Groups,All
26,7626,Brand License,Posh Peanut
59,7626,Department,Apparel
60,7626,Prebook,FALSE
61,7626,Materials,Bamboo/Spandex(95/5)
5,7627,Collection,James
20,7627,Subcategory,James & Solid Ribbed Black - Patoo
7,7627,Gender,Baby Boy
4,7627,Size,One Size
6,7627,Launch Date,06-08-2020
19,7627,NRF Color Name,Green
16,7627,NRF Color Code,N/A
3,7627,Season,Summer 2020
8,7627,Classification,OBSOLETE
24,7627,Price Method,Full Price
59,7627,Department,Apparel
5,7628,Collection,James
20,7628,Subcategory,James & Solid Ribbed Black - Lovey
7,7628,Gender,Baby Boy
4,7628,Size,One Size
6,7628,Launch Date,06-08-2020
19,7628,NRF Color Name,Green
16,7628,NRF Color Code,N/A
3,7628,Season,Summer 2020
8,7628,Classification,OBSOLETE
24,7628,Price Method,Full Price
59,7628,Department,Apparel
5,7629,Collection,Kodiak
20,7629,Subcategory,Kodiak - Infant Swaddle and Beanie Set
7,7629,Gender,Baby Boy
4,7629,Size,One Size
6,7629,Launch Date,06-08-2020
19,7629,NRF Color Name,Gray
16,7629,NRF Color Code,N/A
3,7629,Season,Summer 2020
8,7629,Classification,OBSOLETE
24,7629,Price Method,Full Price
59,7629,Department,Apparel
5,7630,Collection,Kodiak
20,7630,Subcategory,Gown
7,7630,Gender,Baby Boy
4,7630,Size,0-3 Months
16,7630,NRF Color Code,N/A
19,7630,NRF Color Name,N/A
3,7630,Season,Fall 2020
8,7630,Classification,OBSOLETE
24,7630,Price Method,Full Price
25,7630,NU Customer Groups,All
26,7630,Brand License,Posh Peanut
59,7630,Department,Apparel
60,7630,Prebook,FALSE
61,7630,Materials,Bamboo/Spandex(95/5)
5,7631,Collection,Kodiak
20,7631,Subcategory,Kodiak - Short Sleeve Basic Pajamas
7,7631,Gender,Boy
4,7631,Size,2 years
6,7631,Launch Date,06-08-2020
19,7631,NRF Color Name,Gray
16,7631,NRF Color Code,N/A
3,7631,Season,Summer 2020
8,7631,Classification,OBSOLETE
24,7631,Price Method,Full Price
59,7631,Department,Apparel
5,7632,Collection,Kodiak
20,7632,Subcategory,Kodiak - Short Sleeve Basic Pajamas
7,7632,Gender,Boy
4,7632,Size,3 years
3,7632,Season,Summer 2020
8,7632,Classification,OBSOLETE
6,7632,Launch Date,06-08-2020
19,7632,NRF Color Name,Gray
16,7632,NRF Color Code,N/A
59,7632,Department,Apparel
5,7633,Collection,Kodiak
20,7633,Subcategory,Kodiak - Short Sleeve Basic Pajamas
7,7633,Gender,Boy
4,7633,Size,4 years
6,7633,Launch Date,06-08-2020
19,7633,NRF Color Name,Gray
16,7633,NRF Color Code,N/A
3,7633,Season,Summer 2020
8,7633,Classification,OBSOLETE
24,7633,Price Method,Full Price
59,7633,Department,Apparel
5,7634,Collection,Kodiak
20,7634,Subcategory,Kodiak - Short Sleeve Basic Pajamas
7,7634,Gender,Boy
4,7634,Size,5 years
3,7634,Season,Summer 2020
8,7634,Classification,OBSOLETE
6,7634,Launch Date,06-08-2020
19,7634,NRF Color Name,Gray
16,7634,NRF Color Code,N/A
59,7634,Department,Apparel
5,7635,Collection,Kodiak
20,7635,Subcategory,Kodiak - Short Sleeve Basic Pajamas
7,7635,Gender,Boy
4,7635,Size,6 years
3,7635,Season,Summer 2020
8,7635,Classification,OBSOLETE
6,7635,Launch Date,06-08-2020
19,7635,NRF Color Name,Gray
16,7635,NRF Color Code,N/A
59,7635,Department,Apparel
5,7636,Collection,Kodiak
20,7636,Subcategory,Kodiak - Footie Zippered One Piece
7,7636,Gender,Baby Boy
4,7636,Size,Newborn
3,7636,Season,Summer 2020
8,7636,Classification,OBSOLETE
6,7636,Launch Date,06-08-2020
19,7636,NRF Color Name,Gray
16,7636,NRF Color Code,N/A
59,7636,Department,Apparel
