Date,Clicks,Visits
10/27/2020,341.0,681.0
10/28/2020,328.0,953.0
10/29/2020,212.0,670.0
10/30/2020,120.0,630.0
10/31/2020,270.0,522.0
11/1/2020,339.0,665.0
11/2/2020,380.0,561.0
11/3/2020,218.0,754.0
11/4/2020,441.0,887.0
11/5/2020,268.0,528.0
11/6/2020,103.0,511.0
11/7/2020,201.0,731.0
11/8/2020,373.0,877.0
11/9/2020,358.0,796.0
11/10/2020,378.0,542.0
11/11/2020,492.0,700.0
11/12/2020,182.0,715.0
11/13/2020,254.0,910.0
11/14/2020,200.0,708.0
11/15/2020,217.0,652.0
11/16/2020,103.0,538.0
11/17/2020,415.0,777.0
11/18/2020,193.0,965.0
11/19/2020,116.0,730.0
11/20/2020,348.0,784.0
11/21/2020,270.0,887.0
11/22/2020,192.0,956.0
11/23/2020,189.0,816.0
11/24/2020,124.0,594.0
11/25/2020,144.0,755.0
11/26/2020,482.0,641.0
11/27/2020,347.0,803.0
11/28/2020,487.0,857.0
11/29/2020,406.0,788.0
11/30/2020,173.0,831.0
12/1/2020,423.0,888.0
12/2/2020,486.0,559.0
12/3/2020,258.0,908.0
12/4/2020,426.0,740.0
12/5/2020,103.0,719.0
12/6/2020,211.0,794.0
12/7/2020,251.0,509.0
12/8/2020,189.0,825.0
12/9/2020,450.0,616.0
12/10/2020,377.0,664.0
12/11/2020,104.0,951.0
12/12/2020,349.0,807.0
12/13/2020,475.0,853.0
12/14/2020,184.0,714.0
12/15/2020,406.0,572.0
12/16/2020,333.0,776.0
12/17/2020,402.0,500.0
12/18/2020,464.0,606.0
12/19/2020,468.0,843.0
12/20/2020,303.0,784.0
12/21/2020,196.0,963.0
12/22/2020,356.0,922.0
12/23/2020,110.0,830.0
12/24/2020,134.0,682.0
12/25/2020,237.0,662.0
12/26/2020,135.0,970.0
12/27/2020,336.0,597.0
12/28/2020,246.0,702.0
12/29/2020,344.0,977.0
12/30/2020,209.0,677.0
12/31/2020,278.0,879.0
,,
