CustomerID,TotalOrders,TotalSpend,AOV,PurchaseFrequency,CLTV
12346,1,77183.6,77183.6,1,926203.2000000001
12347,7,4310.0,615.7142857142857,7,51720.0
12348,4,1797.24,449.31,4,21566.88
12349,1,1757.55,1757.55,1,21090.6
12350,1,334.4,334.4,1,4012.7999999999997
12352,8,2506.04,313.255,8,30072.48
12353,1,89.0,89.0,1,1068.0
12354,1,1079.4,1079.4,1,12952.800000000001
12355,1,459.4,459.4,1,5512.799999999999
12356,3,2811.43,937.1433333333333,3,33737.159999999996
12357,1,6207.67,6207.67,1,74492.04000000001
12358,2,1168.06,584.03,2,14016.72
12359,4,6310.03,1577.5075,4,75720.36
12360,3,2662.06,887.3533333333334,3,31944.72
12361,1,189.9,189.9,1,2278.8
12362,10,5226.23,522.6229999999999,10,62714.759999999995
12363,2,552.0,276.0,2,6624.0
12364,4,1313.1,328.275,4,15757.199999999999
12365,2,641.38,320.69,2,7696.5599999999995
12367,1,168.9,168.9,1,2026.8000000000002
12370,4,3541.94,885.485,4,42503.28
12371,2,1887.96,943.98,2,22655.52
12372,3,1298.04,432.68,3,15576.48
12373,1,364.6,364.6,1,4375.200000000001
12374,1,742.9300000000001,742.9300000000001,1,8915.16
12375,2,457.5,228.75,2,5490.0
12377,2,1628.12,814.06,2,19537.44
12378,1,4008.62,4008.62,1,48103.44
12379,2,852.24,426.12,2,10226.880000000001
12380,4,2724.81,681.2025,4,32697.72
12381,5,1845.31,369.062,5,22143.72
12383,5,1850.56,370.11199999999997,5,22206.72
12384,2,585.27,292.635,2,7023.24
12386,2,401.9,200.95,2,4822.799999999999
12388,6,2780.66,463.4433333333333,6,33367.92
12390,1,549.84,549.84,1,6598.08
12391,1,439.66,439.66,1,5275.92
12393,4,1582.6000000000001,395.65000000000003,4,18991.2
12394,2,1272.48,636.24,2,15269.76
12395,12,3018.63,251.5525,12,36223.56
12397,2,2409.9,1204.95,2,28918.800000000003
12398,1,1635.6599999999999,1635.6599999999999,1,19627.92
12399,4,1108.65,277.1625,4,13303.800000000001
12401,1,84.3,84.3,1,1011.5999999999999
12402,1,225.6,225.6,1,2707.2
12403,1,427.7,427.7,1,5132.4
12405,1,1710.39,1710.39,1,20524.68
12406,2,3415.3,1707.65,2,40983.600000000006
12407,5,1708.1200000000001,341.624,5,20497.440000000002
12408,5,2888.55,577.71,5,34662.600000000006
12409,3,11072.67,3690.89,3,132872.04
12410,2,693.3299999999999,346.66499999999996,2,8319.96
12412,3,1226.88,408.96000000000004,3,14722.560000000001
12413,3,758.1,252.70000000000002,3,9097.2
12414,3,562.41,187.47,3,6748.92
12415,21,124914.53,5948.310952380953,21,1498974.3599999999
12417,9,3649.1,405.4555555555555,9,43789.2
12418,1,668.58,668.58,1,8022.960000000001
12420,1,600.39,600.39,1,7204.68
12421,4,807.04,201.76,4,9684.48
12422,3,803.5600000000001,267.85333333333335,3,9642.720000000001
12423,8,1859.31,232.41375,8,22311.72
12424,2,1760.96,880.48,2,21131.52
12425,1,777.2,777.2,1,9326.400000000001
12426,1,582.73,582.73,1,6992.76
12427,3,825.8,275.26666666666665,3,9909.599999999999
12428,9,7956.46,884.0511111111111,9,95477.52
12429,4,3750.4,937.6,4,45004.8
12430,1,256.4,256.4,1,3076.7999999999997
